STATION,ZIP,BOROUGH,the_geom
53 ST,11220,Brooklyn,POINT (-74.01403399986317 40.64506866735981)
BAY RIDGE AV,11220,Brooklyn,POINT (-74.02337699950728 40.63496666682377)
77 ST,10075,Manhattan,POINT (-74.0255099996266 40.629741666886915)
86 ST,10028,Manhattan,POINT (-73.95177090964917 40.77786104333163)
BAY RIDGE-95 ST,,,POINT (-74.03087600085765 40.61662166725951)
8 AV,10309,Staten,POINT (-74.00257800104762 40.73977666638199)
NEW UTRECHT AV,11219,Brooklyn,POINT (-73.99635300025969 40.62484166725887)
18 AV,11204,Brooklyn,POINT (-74.00159259239406 40.60773573171741)
20 AV,10309,Staten,POINT (-73.99817432157568 40.60467699816932)
9 AV,10309,Staten,POINT (-73.99444874451204 40.64648407726636)
50 ST,10019,Manhattan,POINT (-73.98598400026407 40.76245599925997)
55 ST,11219,Brooklyn,POINT (-73.99534882595742 40.63147876093745)
71 ST,11228,Brooklyn,POINT (-73.99884094850685 40.61925870977273)
79 ST,10024,Manhattan,POINT (-74.00058287431507 40.61315892569516)
25 AV,11214,Brooklyn,POINT (-73.98682900011477 40.59770366695856)
BAY 50 ST,11214,Brooklyn,POINT (-73.98376500045946 40.58884066651933)
6 AV,10011,Manhattan,POINT (-73.99775078874781 40.73774146981052)
3 AV,10003,Manhattan,POINT (-73.98575000112093 40.73269099971662)
1 AV,10009,Manhattan,POINT (-73.98168087489128 40.73097497580066)
BEDFORD AV,11211,Brooklyn,POINT (-73.95666499806525 40.71717399858899)
LORIMER ST,11211,Brooklyn,POINT (-73.95024799996972 40.71407200064717)
GRAHAM AV,11211,Brooklyn,POINT (-73.94394399869037 40.714575998363635)
GRAND ST,10002,Manhattan,POINT (-73.99375299913589 40.71826699954992)
MONTROSE AV,11206,Brooklyn,POINT (-73.93979284713505 40.70739106438455)
MORGAN AV,11237,Brooklyn,POINT (-73.93314700024209 40.70615166680729)
JEFFERSON ST,11237,Brooklyn,POINT (-73.9229130000312 40.706606665988716)
HALSEY ST,11237,Brooklyn,POINT (-73.90393400118631 40.69551800114878)
WILSON AV,,,POINT (-73.90395860491864 40.68886654246024)
ATLANTIC AV,11207,Brooklyn,POINT (-73.9030969995401 40.67534466640805)
SUTTER AV,11207,Brooklyn,POINT (-73.9019160004208 40.66914500061398)
LIVONIA AV,11212,Brooklyn,POINT (-73.90056237226057 40.66405727094644)
MARCY AV,11211,Brooklyn,POINT (-73.95783200075729 40.708383000017925)
HEWES ST,11211,Brooklyn,POINT (-73.95348800038457 40.706889998054)
FLUSHING AV,11206,Brooklyn,POINT (-73.94137734838365 40.70040440298112)
MYRTLE AV,11206,Brooklyn,POINT (-73.9356230012996 40.6971950005145)
KOSCIUSZKO ST,11221,Brooklyn,POINT (-73.92850899927413 40.69317200129202)
GATES AV,11221,Brooklyn,POINT (-73.92215600150752 40.689583999013905)
CHAUNCEY ST,11207,Brooklyn,POINT (-73.91038357033376 40.68285130087804)
ALABAMA AV,11207,Brooklyn,POINT (-73.89852600159652 40.676998000003756)
VAN SICLEN AV,11207,Brooklyn,POINT (-73.8903580002471 40.67270999906104)
CLEVELAND ST,11208,Brooklyn,POINT (-73.8851940021643 40.679777998961164)
NORWOOD AV,11208,Brooklyn,POINT (-73.87962599910783 40.68152000045683)
CRESCENT ST,11208,Brooklyn,POINT (-73.87392925215778 40.68315265707736)
CYPRESS HILLS,11208,Brooklyn,POINT (-73.87332199882995 40.689616000838754)
WOODHAVN BLVD,11373,Queens,POINT (-73.85205199740794 40.69370399880105)
104 ST,11417,Queens,POINT (-73.83768300060997 40.681711001091195)
111 ST,11418,Queens,POINT (-73.83679338454697 40.697114810696476)
121 ST,11418,Queens,POINT (-73.82834900017954 40.700481998515315)
CENTRAL AV,11221,Brooklyn,POINT (-73.92724299902838 40.69787300011831)
SENECA AV,11385,Queens,POINT (-73.90758199885423 40.70291899894902)
FOREST AV,11385,Queens,POINT (-73.90307500005954 40.70441200087814)
FRESH POND RD,11385,Queens,POINT (-73.8958980017196 40.70622599823048)
METROPOLITAN AV,11211,Brooklyn,POINT (-73.9514239994525 40.71277400073426)
INWOOD-207 ST,10034,Manhattan,POINT (-73.91989900100465 40.86807199999737)
DYCKMAN ST,10040,Manhattan,POINT (-73.92727099960726 40.865490998968916)
190 ST,10040,Manhattan,POINT (-73.93417999964333 40.85902199892482)
181 ST,10033,Manhattan,POINT (-73.93796900205011 40.851694999744616)
175 ST,10033,Manhattan,POINT (-73.93970399761596 40.84739100072403)
168 ST,10032,Manhattan,POINT (-73.94013299907257 40.840555999148535)
155 ST,10039,Manhattan,POINT (-73.94151400082208 40.83051799929251)
145 ST,10031,Manhattan,POINT (-73.94408792823116 40.824766360871905)
135 ST,10037,Manhattan,POINT (-73.94753480879213 40.817905559212676)
125 ST,10035,Manhattan,POINT (-73.93759400055725 40.804138000587244)
116 ST,10029,Manhattan,POINT (-73.9416169983714 40.7986290002001)
103 ST,10029,Manhattan,POINT (-73.94747800152219 40.79060000008452)
96 ST,10025,Manhattan,POINT (-73.9470660219183 40.784236650177654)
72 ST,10023,Manhattan,POINT (-73.95836178682246 40.76880251014895)
14 ST,10011,Manhattan,POINT (-74.00168999937027 40.740893000193296)
SPRING ST,10012,Manhattan,POINT (-73.99714100006673 40.72230099999366)
HIGH ST,11201,Brooklyn,POINT (-73.99053100065458 40.69933699977884)
LAFAYETTE AV,11238,Brooklyn,POINT (-73.97394599849406 40.68611300020567)
FRANKLIN AV,11225,Brooklyn,POINT (-73.95684800014614 40.68137966658742)
NOSTRAND AV,11216,Brooklyn,POINT (-73.9504262489579 40.66993815093054)
UTICA AV,11233,Brooklyn,POINT (-73.93072899914027 40.67936399950546)
RALPH AV,11233,Brooklyn,POINT (-73.92078599933306 40.678822000873375)
ROCKAWAY AV,11233,Brooklyn,POINT (-73.90895833584449 40.66261748815223)
LIBERTY AV,11207,Brooklyn,POINT (-73.89654800103929 40.67454199987086)
SHEPHERD AV,11208,Brooklyn,POINT (-73.88074999747269 40.6741300014559)
EUCLID AV,11208,Brooklyn,POINT (-73.87210600099675 40.675376998239365)
GRANT AV,11208,Brooklyn,POINT (-73.86504999877702 40.67704400054478)
80 ST,11416,Queens,POINT (-73.85899200206335 40.67937100115432)
88 ST,11417,Queens,POINT (-73.85147000026086 40.67984300135503)
ROCKAWAY BLVD,11422,Queens,POINT (-73.8438529979573 40.680428999588415)
BROAD CHANNEL,11693,Queens,POINT (-73.81583268782963 40.60840218069683)
BEACH 90 ST,11693,Queens,POINT (-73.81365140419632 40.58809156457325)
BEACH 98 ST,11694,Queens,POINT (-73.82052058959523 40.58538569133279)
BEACH 105 ST,11694,Queens,POINT (-73.82758075034528 40.58326843810286)
BEACH 67 ST,11692,Queens,POINT (-73.7969239998421 40.59092700078133)
BEACH 60 ST,11692,Queens,POINT (-73.7885219980118 40.59237400121235)
BEACH 44 ST,11691,Queens,POINT (-73.77601299999507 40.59294299908617)
BEACH 36 ST,11691,Queens,POINT (-73.76817499939688 40.59539800166876)
BEACH 25 ST,11691,Queens,POINT (-73.76135299762073 40.60006600105881)
167 ST,10452,Bronx,POINT (-73.92139999784426 40.83553699933672)
170 ST,10452,Bronx,POINT (-73.91779099745928 40.84007499993004)
TREMONT AV,10453,Bronx,POINT (-73.90522700122354 40.850409999510234)
FORDHAM RD,10468,Bronx,POINT (-73.90103399921699 40.86280299988937)
KINGSBRIDGE RD,10468,Bronx,POINT (-73.89717400101743 40.867760000885795)
COURT SQ-23 ST,11101,Queens,POINT (-73.94605470266329 40.747768121414325)
STEINWAY ST,11103,Queens,POINT (-73.9205264716827 40.75698735912575)
46 ST,11104,Queens,POINT (-73.91843500103973 40.74313200060382)
NORTHERN BLVD,11377,Queens,POINT (-73.90606508052358 40.752824829236076)
65 ST,11377,Queens,POINT (-73.8987883783301 40.74971952935675)
ELMHURST AV,11373,Queens,POINT (-73.8820347465864 40.74237007972169)
63 DR-REGO PARK,11374,Queens,POINT (-73.86161820097203 40.729763972422425)
67 AV,10309,Staten,POINT (-73.85286048434907 40.726505475813006)
75 AV,10309,Staten,POINT (-73.83692369387158 40.71804465348743)
SUTPHIN BLVD,11435,Queens,POINT (-73.81083299897232 40.70541799906764)
PARSONS BLVD,11432,Queens,POINT (-73.80328900021885 40.707571999615695)
169 ST,11432,Queens,POINT (-73.79347419927721 40.710517502784)
COURT SQ,11101,Queens,POINT (-73.94526400039679 40.74702299889643)
21 ST,11101,Queens,POINT (-73.9495999997552 40.7441286664954)
GREENPOINT AV,11222,Brooklyn,POINT (-73.95442500146235 40.73126699971465)
NASSAU AV,,,POINT (-73.95118300016523 40.724479997808274)
BROADWAY,11106,Queens,POINT (-73.92582299919906 40.761431998800546)
CLASSON AV,11238,Brooklyn,POINT (-73.95999000137212 40.68888900026455)
42 ST-BRYANT PK,10036,Manhattan,POINT (-73.98459099904711 40.754184001312545)
EAST BROADWAY,10002,Manhattan,POINT (-73.99017700122197 40.713855001020406)
YORK ST,11201,Brooklyn,POINT (-73.98688499993673 40.699742667691574)
BERGEN ST,11201,Brooklyn,POINT (-73.99075649573565 40.68611054725977)
CARROLL ST,11231,Brooklyn,POINT (-73.99494697998841 40.68027335170176)
4 AV-9 ST,11215,Brooklyn,POINT (-73.98830199974512 40.670846666842756)
DITMAS AV,11218,Brooklyn,POINT (-73.97817199965161 40.63611866666291)
NEPTUNE AV,11224,Brooklyn,POINT (-73.97459272818807 40.580738758491464)
57 ST,10019,Manhattan,POINT (-73.98072973372128 40.76456552501829)
SOUTH FERRY,10004,Manhattan,POINT (-74.01316895919258 40.701730507574474)
WALL ST,10005,Manhattan,POINT (-74.00909999844257 40.706820999753376)
FRANKLIN ST,10013,Manhattan,POINT (-74.00688600277107 40.719318001302135)
HOUSTON ST,10014,Manhattan,POINT (-74.00536700180581 40.728251000730204)
18 ST,10011,Manhattan,POINT (-73.99787100060406 40.741039999802105)
157 ST,10032,Manhattan,POINT (-73.94488999901047 40.8340410001399)
191 ST,10040,Manhattan,POINT (-73.92941199742039 40.85522500175836)
207 ST,10034,Manhattan,POINT (-73.91881900132312 40.864614000525854)
215 ST,10034,Manhattan,POINT (-73.91527899954356 40.86944399946045)
231 ST,10463,Bronx,POINT (-73.90483400107873 40.87885599817935)
238 ST,10463,Bronx,POINT (-73.90087000018522 40.88466700064975)
BOWLING GREEN,10004,Manhattan,POINT (-74.01400799803432 40.70491399928076)
BLEECKER ST,10012,Manhattan,POINT (-73.99465900006331 40.72591466682659)
ASTOR PL,10003,Manhattan,POINT (-73.99106999861966 40.73005400028978)
33 ST,10001,Manhattan,POINT (-73.93099699953838 40.74458699983993)
51 ST,10022,Manhattan,POINT (-73.97192000069982 40.75710699989316)
110 ST,10029,Manhattan,POINT (-73.94424999687163 40.795020000113105)
MT EDEN AV,10452,Bronx,POINT (-73.9146849986034 40.84443400092679)
176 ST,10453,Bronx,POINT (-73.91179399884471 40.8484800012369)
BURNSIDE AV,10453,Bronx,POINT (-73.9076840015997 40.85345300155693)
183 ST,10453,Bronx,POINT (-73.90387900151532 40.85840700040842)
MOSHOLU PKWY,10467,Bronx,POINT (-73.88465499988732 40.87974999947229)
WOODLAWN,10470,Bronx,POINT (-73.87875099990931 40.886037000253324)
3 AV-149 ST,10455,Bronx,POINT (-73.91779152760981 40.816029252510006)
JACKSON AV,10455,Bronx,POINT (-73.9077019387083 40.81643746686396)
INTERVALE AV,10459,Bronx,POINT (-73.89661738461646 40.822142131170786)
SIMPSON ST,10459,Bronx,POINT (-73.89306639507903 40.823976841237396)
FREEMAN ST,10459,Bronx,POINT (-73.89175225349464 40.829987446384116)
174 ST,10460,Bronx,POINT (-73.88769359812888 40.837195550170605)
E 180 ST,10460,Bronx,POINT (-73.87334609510884 40.8418630412186)
BRONX PARK EAST,10462,Bronx,POINT (-73.86835609178098 40.848768666338934)
PELHAM PKWY,10469,Bronx,POINT (-73.85535900043564 40.858984999820116)
ALLERTON AV,10467,Bronx,POINT (-73.86723422851625 40.86548337793927)
BURKE AV,10467,Bronx,POINT (-73.86705361747603 40.87125880254771)
GUN HILL RD,10467,Bronx,POINT (-73.84638400151765 40.86952599962676)
219 ST,10467,Bronx,POINT (-73.8625097078866 40.883887974625274)
225 ST,10466,Bronx,POINT (-73.86021461772737 40.88802825863786)
233 ST,10466,Bronx,POINT (-73.85736239521543 40.89314324138378)
BROOK AV,10454,Bronx,POINT (-73.91923999909432 40.80756599987699)
CYPRESS AV,10454,Bronx,POINT (-73.91404199994753 40.8053680007636)
E 149 ST,10451,Bronx,POINT (-73.90409799875945 40.81211799827203)
LONGWOOD AV,10455,Bronx,POINT (-73.89643499897414 40.816103999972405)
HUNTS POINT AV,10474,Bronx,POINT (-73.89054900017344 40.82094799852307)
WHITLOCK AV,10459,Bronx,POINT (-73.8862829985325 40.82652500055904)
ELDER AV,10472,Bronx,POINT (-73.87915899874777 40.82858400108929)
ST LAWRENCE AV,10472,Bronx,POINT (-73.86761799923673 40.8315090005233)
PARKCHESTER,10472,Bronx,POINT (-73.86081600108396 40.83322599927859)
CASTLE HILL AV,10462,Bronx,POINT (-73.85122199961472 40.83425499825462)
ZEREGA AV,10462,Bronx,POINT (-73.8470359987544 40.836488000608156)
MIDDLETOWN RD,10461,Bronx,POINT (-73.83632199755944 40.84386300128381)
BUHRE AV,10461,Bronx,POINT (-73.83256900003744 40.846809998885504)
PELHAM BAY PARK,10461,Bronx,POINT (-73.82812100059289 40.85246199951662)
QUEENSBORO PLZ,11101,Queens,POINT (-73.9401635351909 40.750635651014804)
39 AV,10309,Staten,POINT (-73.93285137679598 40.75276306140845)
36 AV,11106,Queens,POINT (-73.929861999118 40.7564420005104)
30 AV,11102,Queens,POINT (-73.9214790001739 40.76677866673298)
ASTORIA BLVD,11102,Queens,POINT (-73.91809500109238 40.77003699949086)
52 ST,11377,Queens,POINT (-73.91254899891254 40.744149001021576)
69 ST,11377,Queens,POINT (-73.8964029993185 40.746324999410284)
74 ST-BROADWAY,11373,Queens,POINT (-73.8912051289911 40.746867573829114)
JUNCTION BLVD,11372,Queens,POINT (-73.86952700103515 40.74914499948836)
CLARK ST,11201,Brooklyn,POINT (-73.99308599821961 40.69746599996469)
HOYT ST,11201,Brooklyn,POINT (-73.98506379575646 40.69054418535472)
NEVINS ST,11217,Brooklyn,POINT (-73.98040679874578 40.68831058019022)
KINGSTON AV,11213,Brooklyn,POINT (-73.94215978392963 40.66948144864978)
SARATOGA AV,,,POINT (-73.91633025007947 40.6615297898075)
JUNIUS ST,11212,Brooklyn,POINT (-73.90244864183562 40.66358900181724)
PENNSYLVANIA AV,,,POINT (-73.89488591154061 40.66471445143568)
NEW LOTS AV,11207,Brooklyn,POINT (-73.89927796057142 40.65891477368527)
PRESIDENT ST,11225,Brooklyn,POINT (-73.95058920022207 40.667883603536815)
STERLING ST,11225,Brooklyn,POINT (-73.95072891124937 40.6627729934283)
WINTHROP ST,11225,Brooklyn,POINT (-73.95007934590994 40.65665931376077)
BEVERLY RD,11226,Brooklyn,POINT (-73.94884798381702 40.64512351894373)
NEWKIRK AV,11226,Brooklyn,POINT (-73.94829990822407 40.63999124275311)
MORRIS PARK,10462,Bronx,POINT (-73.86049500117254 40.85436399966426)
BAYCHESTER AV,10469,Bronx,POINT (-73.83859099802153 40.87866300037311)
57 ST-7 AV,10106,Manhattan,
BEVERLEY ROAD,11226,Brooklyn,
NEWKIRK PLAZA,11226,Brooklyn,
4AV-9 ST,11215,Brooklyn,
NEW LOTS,11207,Brooklyn,
JFK JAMAICA CT1,11435,Queens,
HOYT-SCHER,11201,Brooklyn,
JKSN HT-ROOSVLT,11373,Queens,
47-50 STS ROCK,10020,Manhattan,
B'WAY-LAFAYETTE,10012,Manhattan,
2 AV,10003,Manhattan,
ROOSEVELT ISLND,10022,Manhattan,
JAMAICA CENTER,11432,Queens,
86 ST-2 AV,,,
96 ST-2 AV,,,
ORCHARD BEACH,,,
NEWARK HW BMEBE,10019,Manhattan,
HARRISON,10528,,
JOURNAL SQ,07306,,
GROVE ST,07302,,
EXCHANGE PLACE,07302,,
PAVONIA/NEWPORT,07310,,
CITY / BUS,10018,Manhattan,
9TH ST,10011,Manhattan,
14TH ST,10011,Manhattan,
TWENTY THIRD ST,10011,Manhattan,
THIRTY ST,10001,Manhattan,
LACKAWANNA,07030,,
THIRTY THIRD ST,10001,Manhattan,
NEWARK BM BW,07102,,
NEWARK C,07114,,
NEWARK HM HE,10119,Manhattan,
PATH WTC 2,10007,Manhattan,
PATH NEW WTC,,,
